Date                  Min.(HJD)         Min.(BJD)         Epoch        O-C         Err         Telescopes     Filters  
2012 Oct 04           2456204.80313     2456204.80390     169414       -0.00123    0.00010     AAVSO          V        
2012 Oct 07           2456207.89627     2456207.89704     169456       -0.00127    0.00020     AAVSO          V        
2012 Oct 15           2456215.77621     2456215.77697     169563       -0.00159    0.00020     AAVSO          V        
2012 Oct 16           2456216.88100     2456216.88176     169578       -0.00150    0.00020     AAVSO          V        
2012 Oct 17           2456217.76500     2456217.76577     169590       -0.00127    0.00020     AAVSO          V        
2012 Oct 18           2456218.79593     2456218.79670     169604       -0.00140    0.00020     AAVSO          V        
2012 Oct 18           2456218.86938     2456218.87015     169605       -0.00159    0.00020     AAVSO          V        
2012 Oct 20           2456220.85793     2456220.85870     169632       -0.00152    0.00020     AAVSO          V        
2012 Oct 26           2456226.89715     2456226.89792     169714       -0.00137    0.00010     AAVSO          V        
2012 Oct 29           2456229.84297     2456229.84374     169754       -0.00144    0.00020     AAVSO          V        
2012 Dec 02           2456263.57329     2456263.57406     170212       -0.00154    0.00010     AAVSO          V        
2012 Dec 02           2456263.64711     2456263.64788     170213       -0.00137    0.00010     AAVSO          V        
2012 Dec 02           2456263.72069     2456263.72145     170214       -0.00143    0.00010     AAVSO          V        
2012 Dec 02           2456263.79437     2456263.79514     170215       -0.00140    0.00010     AAVSO          V        
2012 Dec 02           2456263.86785     2456263.86861     170216       -0.00157    0.00010     AAVSO          V        
2012 Dec 03           2456264.60441     2456264.60517     170226       -0.00148    0.00010     AAVSO          V        
2012 Dec 03           2456264.67823     2456264.67900     170227       -0.00130    0.00020     AAVSO          V        
2012 Dec 03           2456264.75176     2456264.75253     170228       -0.00142    0.00020     AAVSO          V        
2012 Dec 03           2456264.82550     2456264.82627     170229       -0.00133    0.00020     AAVSO          V        
2012 Dec 04           2456265.56206     2456265.56283     170239       -0.00124    0.00020     AAVSO          V        
2012 Dec 04           2456265.63552     2456265.63629     170240       -0.00143    0.00020     AAVSO          V        
2012 Dec 04           2456265.70908     2456265.70985     170241       -0.00151    0.00020     AAVSO          V        
2012 Dec 04           2456265.78271     2456265.78348     170242       -0.00153    0.00020     AAVSO          V        
2012 Dec 04           2456265.85644     2456265.85720     170243       -0.00145    0.00020     AAVSO          V        
2012 Dec 08           2456269.61237     2456269.61313     170294       -0.00153    0.00020     AAVSO          V        
2012 Dec 08           2456269.75983     2456269.76059     170296       -0.00137    0.00020     AAVSO          V        
2012 Dec 08           2456269.83322     2456269.83399     170297       -0.00162    0.00020     AAVSO          V        
2012 Dec 09           2456270.86461     2456270.86537     170311       -0.00129    0.00020     AAVSO          V        
2013 Sept 09          2456545.42137     2456545.42214     174039       -0.00130    0.00020     AAVSO          V        
2017 Oct 31           2458058.35588     2458058.35671     194582       -0.00123    0.00020     AAVSO          V        
2017 Nov 05           2458063.43746     2458063.43828     194651       -0.00131    0.00010     AAVSO          V        
2017 Nov 06           2458064.32120     2458064.32202     194663       -0.00134    0.00010     AAVSO          V        
2017 Nov 06           2458064.39468     2458064.39550     194664       -0.00151    0.00010     AAVSO          V        
2017 Nov 06           2458064.46835     2458064.46917     194665       -0.00148    0.00010     AAVSO          V        
2017 Nov 07           2458065.35232     2458065.35315     194677       -0.00127    0.00010     AAVSO          V        
2017 Nov 08           2458066.45697     2458066.45780     194692       -0.00133    0.00010     AAVSO          V        
2017 Nov 11           2458069.40295     2458069.40377     194732       -0.00124    0.00020     AAVSO          V        
2017 Nov 11           2458069.47650     2458069.47733     194733       -0.00134    0.00020     AAVSO          V        
2017 Nov 12           2458069.55018     2458069.55101     194734       -0.00130    0.00020     AAVSO          V        
2017 Nov 12           2458069.62388     2458069.62470     194735       -0.00126    0.00010     AAVSO          V        
2017 Nov 12           2458070.28657     2458070.28739     194744       -0.00139    0.00010     AAVSO          V        
2017 Nov 12           2458070.36034     2458070.36117     194745       -0.00126    0.00020     AAVSO          V        
2017 Nov 13           2458071.39122     2458071.39205     194759       -0.00144    0.00010     AAVSO          V        
2017 Nov 13           2458071.46507     2458071.46589     194760       -0.00124    0.00020     AAVSO          V        
2017 Nov 14           2458071.53869     2458071.53951     194761       -0.00127    0.00020     AAVSO          V        
2017 Nov 14           2458071.61229     2458071.61311     194762       -0.00132    0.00020     AAVSO          V        
2017 Nov 14           2458072.34883     2458072.34965     194772       -0.00125    0.00020     AAVSO          V        
2017 Nov 14           2458072.42245     2458072.42328     194773       -0.00127    0.00010     AAVSO          V        
2017 Nov 14           2458072.49608     2458072.49691     194774       -0.00129    0.00010     AAVSO          V        
2017 Nov 15           2458072.56965     2458072.57047     194775       -0.00137    0.00010     AAVSO          V        
2017 Nov 15           2458073.30611     2458073.30693     194785       -0.00138    0.00010     AAVSO          V        
2017 Nov 15           2458073.37983     2458073.38065     194786       -0.00132    0.00010     AAVSO          V        
2017 Nov 15           2458073.45359     2458073.45441     194787       -0.00120     0.00020     AAVSO          V        
2017 Nov 16           2458073.52711     2458073.52793     194788       -0.00133    0.00010     AAVSO          V        
2017 Nov 16           2458073.60077     2458073.60160     194789       -0.00131    0.00010     AAVSO          V        
2017 Nov 16           2458074.33750     2458074.33832     194799       -0.00106    0.00010     AAVSO          V        
2017 Nov 16           2458074.41081     2458074.41163     194800       -0.00139    0.00010     AAVSO          V        
2017 Nov 16           2458074.48451     2458074.48534     194801       -0.00133    0.00010     AAVSO          V        
2017 Nov 17           2458074.55801     2458074.55884     194802       -0.00148    0.00010     AAVSO          V        
2017 Nov 17           2458075.29469     2458075.29551     194812       -0.00128    0.00010     AAVSO          V        
2017 Nov 18           2458075.51561     2458075.51644     194815       -0.00130     0.00010     AAVSO          V        
2017 Nov 18           2458075.58925     2458075.59007     194816       -0.00131    0.00020     AAVSO          V        
2017 Nov 18           2458076.32588     2458076.32670     194826       -0.00115    0.00010     AAVSO          V        
2017 Nov 18           2458076.39938     2458076.40020     194827       -0.00130     0.00010     AAVSO          V        
2017 Nov 18           2458076.47294     2458076.47376     194828       -0.00139    0.00010     AAVSO          V        
2017 Nov 19           2458076.62038     2458076.62120     194830       -0.00124    0.00010     AAVSO          V        
2017 Nov 19           2458077.28305     2458077.28387     194839       -0.00139    0.00010     AAVSO          V        
2017 Nov 19           2458077.35660     2458077.35742     194840       -0.00149    0.00010     AAVSO          V        
2017 Nov 19           2458077.43036     2458077.43118     194841       -0.00138    0.00010     AAVSO          V        
2017 Nov 20           2458077.50414     2458077.50496     194842       -0.00125    0.00010     AAVSO          V        
2018 Nov 03           2458425.63439     2458425.63521     199569       -0.00132    0.00010     AAVSO          V        
2018 Nov 03           2458425.92885     2458425.92967     199573       -0.00145    0.00010     AAVSO          V        
2018 Nov 23           2458445.59253     2458445.59335     199840       -0.00158    0.00010     AAVSO          V        
2018 Dec 08           2458460.61672     2458460.61754     200044       -0.00142    0.00010     AAVSO          V        
2018 Dec 09           2458461.64788     2458461.64870     200058       -0.00132    0.00010     AAVSO          V        
2018 Dec 10           2458462.60512     2458462.60594     200071       -0.00149    0.00010     AAVSO          V        
2018 Dec 10           2458462.67885     2458462.67967     200072       -0.00141    0.00010     AAVSO          V        
2018 Dec 10           2458462.75234     2458462.75316     200073       -0.00156    0.00010     AAVSO          V        
2018 Dec 11           2458463.56243     2458463.56325     200084       -0.00160     0.00010     AAVSO          V        
2018 Dec 11           2458463.63609     2458463.63692     200085       -0.00158    0.00010     AAVSO          V        
2018 Dec 11           2458463.70995     2458463.71077     200086       -0.00137    0.00010     AAVSO          V        
2018 Dec 18           2458471.44290     2458471.44372     200191       -0.00138    0.00010     AAVSO          V        
2018 Dec 19           2458471.51643     2458471.51725     200192       -0.00149    0.00010     AAVSO          V        
2019 Jan 23           2458506.64642     2458506.64724     200669       -0.00122    0.00010     AAVSO          V        
2019 Jan 23           2458506.71985     2458506.72067     200670       -0.00144    0.00010     AAVSO          V        
2019 Jan 28           2458511.65427     2458511.65509     200737       -0.00138    0.00010     AAVSO          V        
2019 Jan 28           2458511.72785     2458511.72867     200738       -0.00145    0.00010     AAVSO          V        
2019 Jan 30           2458513.64267     2458513.64349     200764       -0.00145    0.00010     AAVSO          V        
2019 Jan 30           2458513.71626     2458513.71708     200765       -0.00151    0.00010     AAVSO          V        
2019 Feb 08           2458522.62766     2458522.62847     200886       -0.00143    0.00010     AAVSO          V        
2019 Feb 08           2458522.70092     2458522.70173     200887       -0.00182    0.00010     AAVSO          V        
